PMB CODE,PMB CONDITION,MEDICINE SUB-CATEGORY,MEDICINE CLASS NAME,PRODUCT NAME,STRENGTH
209E,Thrombo-embolism,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Warfarin 5 mg Austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury","Antibacterial Agents, systemic",Sulfamethoxazole and trimethoprim,Trixazole,480 mg
,,,,Lagatrim,480 mg
,,,,Doctrim,240 mg/5 mL
,,,,Ilvitrim,240 mg/5 mL
,,,,Purbac,240 mg/5 mL
,,,,Novatrim,240 mg/5 mL
,,,,Ilvitrim,480 mg
,,,,Nucotrim,480 mg
,,,,Cozole,480 mg
,,Anti-inflammatory Agents - Acetic acid derivatives and related substances,Diclofenac,Diclofenac biotech,25 mg
,,,,Mylan diclofenac,25 mg
,,,,Panamor at,50 mg
,,,,Mylan diclofenac,50 mg
,,,,Adco-diclofenac,50 mg
,,,,A-lennon diclofenac,50 mg
,,,Indometacin,Methocaps,25 mg
,,,,Betacin,25 mg
,,,,Gulf indomethacin,25 mg
,,Anti-inflammatory Agents - Propionic acid derivatives,Ibuprofen,Ibucine,100 mg/5 mL
,,,,Ibugesic,100 mg/5 mL
,,,,Inflamax Paediatric,100 mg/5 mL
,,,,Ibugesic oral suspension (strawberry),100 mg/5 mL
,,,,Ibucine,200 mg
,,,,Ibusor,200 mg
,,,,Betaprofen,200 mg
,,,,Ibunate,200 mg
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Anti-inflammatory Agents - Propionic acid derivatives,Ibuprofen,Ibucine,400 mg
,,,,Bren,400 mg
,,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg Austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
,,Aspirin,Acetylsalicylic acid,Soluspirin (was aspirin soluble),300 mg
,,,,Aspirin teva,80 mg
,,,,Coprin,100 mg
,,,,Disprin,300 mg
,,H2-receptor antagonists,Cimetidine,Adco-cimetidine,200 mg
,,,,Cimlok,200 mg
,,,,Bio-cimetidine,200 mg
,,,,Lenamet,400 mg
,,,,Bio-cimetidine,400 mg
,,Laxatives,Lactulose,Aculax,"3,3g/5 mL"
,,,,Lacson,3300 mg/5 mL
,,,Senna glycosides,Soflax,13.5 mg
,,,Methocarbamol,Robaxin,500 mg
,,Muscle Relaxants - Carbamic acid esters,,Robaxin,750 mg
,,"Antibacterial Agents, systemic",Nitrofurantoin,Cipladantin,100 mg
,,,,Cipladantin,50 mg
,,Muscle Relaxants - Other Centrally Acting Agents,Baclofen,Teva baclofen,10 mg
,,Urinary antispasmodics,Oxybutynin,Oxyrest,5 mg
,,,,Lenditro,5mg
,,,,Mylan oxybutynin,5 mg
214F,Oesophageal stricture,Proton pump inhibitors,Lansoprazole,Adco-roznal,30 mg
,,,,Lancap,30 mg
,,,,Lansoprazole unicorn,30 mg
,,,Omeprazole,Omiflux,20 mg
,,,,Probitor,20 mg
,,,,Adco-omeprazole,20 mg
,,Selective Calcium Channel Blockers with Mainly Vascular Effects,Nifedipine,Bio-nifedipine (was Norton-nifedipine),10 mg
,,,,Bio-nifedipine (was Norton-nifedipine),5 mg
,,Vasodilators in Cardiac Disease - Organic Nitrates,Isosorbide dinitrate,Sandoz isosorbide dinitrate,10 mg
,,,,Sandoz isosorbide dinitrate,5 mg
236K,Iron deficiency; vitamin and other nutritional deficiencies – life-threatening,Folic acid and derivatives,Folic acid,Gulf folic acid,5 mg
,,,,Be-tabs folic acid,5 mg
,,"Iron bivalent, oral preparations",Ferrous sulphate,Ferrous sulphate,30 mg
,,,,Ferrous sulphate,75 mg
,,,"Iron, vitamin B12 and Folic acid",Ferrous forte chelated iron,-
,,"Multivitamins, plain","Multivitamins, plain",Multivitamin,-
,,,,Multivitamin,-
,,,,Multivitamin orange,-
,,Other plain vitamin preparations,Nicotinamide,Nicotinamide,25 mg
,,,Pyridoxine (vit B6),Holland and barrett vitamin b6,100 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,,Tocopherol (vit E),Bettaway vit e,400iu
,,,,Holland and barrett mixed tocopherols,400u
236K,Iron deficiency; vitamin and other nutritional deficiencies – life-threatening,"Vitamin A, plain",Retinol (vit A),Holland and barrett beta-carotene provitamin a,6 mg
,,"Vitamin B1, plain",Thiamine (vit B1),Litha thiamine hcl (was A-lennon thiamine),100 mg
,,,,Puritan's pride b-1 (thiamine hydrochloride),50 mg
,,Vitamin B12 (cyanocobalamin and analogues),Cyanocobalamin,A-lennon vitamin b12 1 ml,1000 mcg/1 mL
,,,,A-lennon vitamin b12 10 ml,1000 mcg/1 mL
,,"Vitamin B-complex, plain","Vitamin B-complex, plain",B-co,-
,,,,AHA Vitamin B Co,-
,,,,Vitamin b co forte chocolate,-
,,Vitamin D and analogues,Alfacalcidol,Zodoray,"0,25 mcg"
,,,,Zodoray,1 mcg
,,,Ergocalciferol,Calciferol,50000u
,,,,Calciferol oily,5000iu/1 mL
,,Vitamin K,Phytomenadione,Konakion mm 1 ml,10 mg/1 mL
,,,,Konakion mm paediatric ampoule 0.2 ml with dispenser,10 mg
246S,,Anthelminthics,Albendazole,Zentel,100 mg/5 mL
,,,,Zentel,400 mg
,Cysticercosis; other systemic cestode infection,,Praziquantel,Cysticide,500 mg
,,Systemic Corticosteroids - Prednisolone,Prednisolone,Aspelone,15 mg/5 mL
,,,,Adco prednisolone,15 mg/5 mL
,,Systemic Corticosteroids - Prednisone,Prednisone,Panafcort,5 mg
,,,,Be-tabs prednisone,5 mg
,,,,Trolic,5 mg
252S,Life-threatening anaemia NOS,Folic acid and derivatives,Folic acid,Gulf folic acid,5 mg
,,,,Be-tabs folic acid,5 mg
252S,Life-threatening anaemia NOS,"Iron bivalent, oral preparations",Ferrous sulphate,Ferrous sulphate,30 mg
,,,,Ferrous sulphate,75 mg
,,"Multivitamins, plain","Multivitamins, plain",Multivitamin,-
,,,,Multivitamin,-
,,,,Multivitamin orange,-
,,Other plain vitamin preparations,Nicotinamide,Nicotinamide,25 mg
,,,Pyridoxine (vit B6),Holland and barrett vitamin b6,100 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,,,Pyridoxine,25 mg
,,,Tocopherol (vit E),Bettaway vit e,400iu
,,,,Holland and barrett mixed tocopherols,400u
,,"Vitamin A, plain",Retinol (vit A),Holland and barrett beta-carotene provitamin a,6 mg
,,"Vitamin B1, plain",Thiamine (vit B1),Litha thiamine hcl (was A-lennon thiamine),100 mg
,,,,Puritan's pride b-1 (thiamine hydrochloride),50 mg
,,Vitamin B12 (cyanocobalamin and analogues),Cyanocobalamin,A-lennon vitamin b12 1 mL,1000 mcg/1 mL
,,,,A-lennon vitamin b12 10 mL,1000 mcg/1 mL
,,"Vitamin B-complex, plain","Vitamin B-complex, plain",B-co,-
,,,,AHA Vitamin B Co,-
,,,,Vitamin b co forte chocolate,-
,,Vitamin D and analogues,Alfacalcidol,Zodoray,"0,25 mcg"
,,,,Zodoray,1 mcg
,,,Colecalciferol,D-drops (new formulation) 30 ml,500 iu/0.5 mL
,,,Ergocalciferol,Calciferol,50000 u
,,,,Calciferol oily,5000 iu/1 mL
252S,Life-threatening anaemia NOS,Vitamin K,Phytomenadione,Konakion mm 1 ml,10 mg/1 mL
,,,,Konakion mm paediatric ampoule 0.2 ml with dispenser,10 mg
265A,Transient cerebral ischaemia; life-threatening cerebrovascular conditions NOS,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
,,Aspirin,Acetylsalicylic acid,Soluspirin (was aspirin soluble),300 mg
,,,,Aspirin teva,80 mg
,,,,Coprin,100 mg
,,,,Disprin,300 mg
26E,"Arterial embolism/thrombosis: abdominal aorta, thoracic aorta","Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
284E,Acute pulmonary heart disease and pulmonary emboli,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
294E,"Giant cell arteritis, Kawasaki disease,",Anti-inflammatory Agents - Acetic acid,Diclofenac,Diclofenac biotech,25 mg
,,,,Mylan diclofenac,25 mg
,hypersensitivity angiitis,derivatives and related substances,,Panamor at,50 mg
,,,,Mylan diclofenac,50 mg
,,,,Adco-diclofenac,50 mg
,,,,A-lennon diclofenac,50 mg
,,,Indometacin,Methocaps,25 mg
,,,,Betacin,25 mg
,,,,Gulf indomethacin,25 mg
,,Anti-inflammatory Agents - Oxicams,Piroxicam,Roxifen,20 mg
294E,"Giant cell arteritis, Kawasaki disease, hypersensitivity angiitis",Anti-inflammatory Agents - Oxicams,Piroxicam,Pyrocaps,20 mg
,,Anti-inflammatory Agents - Propionic acid derivatives,Ibuprofen,Ibucine,100 mg/5 mL
,,,,Ibugesic,100 mg/5 mL
,,,,Inflamax Paediatric,100 mg/5 mL
,,,,Ibugesic oral suspension (strawberry),100 mg/5 mL
,,,,Ibucine,200 mg
,,,,Ibusor,200 mg
,,,,Betaprofen,200 mg
,,,,Ibunate,200 mg
,,,,Ibucine,400 mg
,,,,Bren,400 mg
,,Aspirin,Acetylsalicylic acid,Soluspirin (was aspirin soluble),300 mg
,,,,Aspirin teva,80 mg
,,,,Coprin,100 mg
,,,,Disprin,300 mg
309E,Diseases and disorders of aortic valve NOS,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
338S,Cholera; Rat-bite fever,"Antibacterial Agents, systemic",Amoxicillin,Amyn s,125 mg/5 mL
,,,,Zaloxy,125 mg/5 mL
,,,,Allmox s,125 mg/5 mL
,,,,Betamox s,125 mg/5 mL
,,,,Zoxil s,125 mg/5 mL
,,,,Moxymax s,125 mg/5 mL
,,,,Amoxicillin unimed,125 mg/5 mL
,,,,Austell-amoxicillin,250 mg
,,,,Allmox,250 mg
338S,Cholera; Rat-bite fever,"Antibacterial Agents, systemic",Amoxicillin,Moxymax,250 mg
,,,,Amoxicap,250 mg
,,,,Betamox,250 mg
,,,,Amyn sf,250 mg/5 mL
,,,,Zaloxy,250 mg/5 mL
,,,,Allmox sf,250 mg/5 mL
,,,,Moxymax sf,250 mg/5 mL
,,,,Amoxicillin unimed,250 mg/5 mL
,,,,Austell-amoxicillin,500 mg
,,,,Allmox,500 mg
,,,,Moxymax,500 mg
,,,Amoxicillin and Beta-lactamase inhibitor,Amoclan S,"156,25 mg/5 mL"
,,,,Sandoz co-amoxyclav s,"156,25 mg/5 ml"
,,,,Ranclav,"156,25 mg/5 mL"
,,,,Bio-amoksiklav s,"156,25 mg/5 mL"
,,,,Clamentin s,"156,25 mg/5 mL"
,,,,Auro-amoxiclav,"156,25 mg/5 mL"
,,,,Amoclan SF,"312,5 mg/5 mL"
,,,,Sandoz co-amoclav sf,"312,5 mg/5 mL"
,,,,Ranclav forte,"312,5 mg/5 mL"
,,,,Adco amoxyclav,375 mg
,,,,Austell-co-amoxiclav,375 mg
,,,,Auro-amoxiclav,375 mg
,,,,Sandoz co-amoxyclav,375 mg
,,,,Bindoclav,375 mg
,,,,Myclav,375 mg
,,,,Bio-amoksiklav,375 mg
,,,,Sandoz co-amoxyclav bd sf,457 mg/5 mL
,,,,Curam bd,457 mg/5 mL
,,,,Austell co-amoxiclav bd sf,457 mg/5 mL
,,,,Ranclav,625 mg
,,,,Austell-co-amoxiclav,625 mg
338S,Cholera; Rat-bite fever,"Antibacterial Agents, systemic",Amoxicillin and Beta-lactamase inhibitor,Auro-amoxiclav,625 mg
,,,,Myclav,625 mg
,,,,Sandoz co-amoxyclav,625 mg
,,,Cefalexin,Ranceph,125 mg/5 mL
,,,,Ranceph,250 mg
,,,,Ranceph,250 mg/5 mL
,,,,Cefalexin alkem,500 mg
,,,,Ranceph,500 mg
,,,Ciprofloxacin,Biotech ciprofloxacin,250 mg
,,,,Cpl alliance ciprofloxacin,250 mg
,,,,Ciprogen,250 mg
,,,,Cifran 500,500 mg
,,,,Cpl alliance ciprofloxacin,500 mg
,,,,Biotech ciprofloxacin,500 mg
,,,,Ciprogen,500 mg
,,,,Austell ciprofloxacin,500 mg
,,,Clarithromycin,Claren granules,125 mg/5 mL
,,,,Klaryvid,250 mg
,,,,Klaribin,250 mg
,,,,Claren granules,250 mg/5 mL
,,,,Klaribin,500 mg
,,,,Klaryvid,500 mg
,,,,Clarihexal 125 P,125 mg/ 5 mL
,,,,Clarihexal 250 P,250 mg/ 5 mL
,,,,Mylan clarithromycin,500 mg
,,,Clarithromycin,Klarizon,500 mg
,,,Clindamycin,Clindahexal,150 mg
,,,,Clindamycin actor,150 mg
,,,Cloxacillin,Cloxin,250 mg
,,,,Cloxin,500 mg
338S,Cholera; Rat-bite fever,"Antibacterial Agents, systemic",Combinations of penicillins,Apen s,250 mg
,,,,Macropen s,250 mg/5 mL
,,,,Macropen,500 mg
,,,,Apen,500 mg
,,,Doxycycline,Doxytet,100 mg
,,,,Cyclidox,100 mg
,,,,A-lennon doxycycline hcl,100 mg
,,,,Doxycyl,100 mg
,,,,Doxycycline biotech,100 mg
,,,Electrolyte replacement,Hydrolec juice + electrolytes apple,-
,,,,Hydrolec ready to drink orange,-
,,,Erythromycin,Purmycin,125 mg/5 mL
,,,,Xeramel s,125 mg/ 5mL
,,,,Xeramel sf,250 mg/ 5mL
,,,,Xeramel,250 mg
,,,,Adco-erythromycin,250 mg
,,,,Purmycin,250 mg
,,,,Eryko,250 mg
,,,,Purmycin,250 mg/5 mL
,,,Flucloxacillin,Sandoz flucloxacillin,250 mg
,,,,Flupen,250 mg
,,,,Flucloxacillin 250 oethmaan,250 mg
,,,Metronidazole,Metazol,200 mg
,,,,Bemetrazole,200 mg
,,,,Adco-metronidazole,200 mg
,,,,Trichazole,200 mg
,,,,Metagyl,200 mg
,,,,Anaerobyl,200 mg
,,,,Metagyl Forte,400 mg
,,,,Anaerobyl,400 mg
,,,,Bemetrazole,400 mg
,,,,Nidasall,400 mg
338S,Cholera; Rat-bite fever,"Antibacterial Agents, systemic",Metronidazole,Bio-metronidazole,400 mg
,,,,Metazol,400 mg
,,,,Metrazole,400 mg
,,,Nystatin,Candacide,100000 u/1 mL
,,,,Canstat oral,100000 u/1 mL
,,,,Nystacid,100000 u/1 mL
,,,Oxytetracycline,Pharmatet (yellow/orange),250 mg
,,,Sulfamethoxazole and Trimethoprim,Trixazole,480 mg
,,,,Lagatrim,480 mg
,,,,Doctrim,240 mg/5 mL
,,,,Ilvitrim,240 mg/5 mL
,,,,Purbac,240 mg/5 mL
,,,,Novatrim,240 mg/5 mL
,,,,Ilvitrim,480 mg
,,,,Nucotrim,480 mg
,,,,Cozole,480 mg
359L,Vesicoureteral reflux,"Antibacterial Agents, systemic",Amoxicillin,Amyn s,125 mg/5 mL
,,,,Zaloxy,125 mg/5 mL
,,,,Allmox s,125 mg/5 mL
,,,,Betamox s,125 mg/5 mL
,,,,Zoxil s,125 mg/5 mL
,,,,Moxymax s,125 mg/5 mL
,,,,Amyn sf,250 mg/5 mL
,,,,Zaloxy,250 mg/5 mL
,,,,Allmox sf,250 mg/5 mL
,,,,Austell-amoxicillin,500 mg
,,,,Allmox,500 mg
,,,,Moxymax,500 mg
,,,Amoxicillin and enzyme inhibitor,Amoclan S,"156,25 mg/5 mL"
,,,,Sandoz co-amoxyclav s,"156,25 mg/5 mL"
,,,,Ranclav,"156,25 mg/5 mL"
,,,,Bio-amoksiklav s,"156,25 mg/5 mL"
,,,,Clamentin s,"156,25 mg/5 mL"
359L,Vesicoureteral reflux,"Antibacterial Agents, systemic",Amoxicillin and enzyme inhibitor,Auro-amoxiclav,"156,25 mg/5 mL"
,,,,Amoclan SF,"312,5 mg/5 mL"
,,,,Sandoz co-amoclav sf,"312,5 mg/5 mL"
,,,,Ranclav forte,"312,5 mg/5 mL"
,,,,Adco amoxyclav,375 mg
,,,,Austell-co-amoxiclav,375 mg
,,,,Auro-amoxiclav,375 mg
,,,,Sandoz co-amoxyclav,375 mg
,,,,Bindoclav,375 mg
,,,,Bio-amoksiklav,375 mg
,,,,Sandoz co-amoxyclav bd sf,457 mg/5 mL
,,,,Curam bd,457 mg/5 mL
,,,,Austell co-amoxiclav bd sf,457 mg/5 mL
,,,,Ranclav,625 mg
,,,,Austell-co-amoxiclav,625 mg
,,,,Auro-amoxiclav,625 mg
,,,,Myclav,625 mg
,,,,Sandoz co-amoxyclav,625 mg
,,,Cefadroxil,Dacef,250 mg/5 mL
,,,,Dacef,500 mg/5 mL
,,,Cefalexin,Ranceph,125 mg/5 mL
,,,,Ranceph,250 mg
,,,,Ranceph,250 mg/5 mL
,,,,Cefalexin alkem,500 mg
,,,,Ranceph,500 mg
,,,Ciprofloxacin,Biotech ciprofloxacin,250 mg
,,,,Cpl alliance ciprofloxacin,250 mg
,,,,Ciprogen,250 mg
,,,,Cifran 500,500 mg
,,,,Cpl alliance ciprofloxacin,500 mg
,,,,Biotech ciprofloxacin,500 mg
359L,Vesicoureteral reflux,"Antibacterial Agents, systemic",Ciprofloxacin,Ciprogen,500 mg
,,,,Austell ciprofloxacin,500 mg
,,,Combinations of penicillins,Apen s,250 mg
,,,,Macropen s,250 mg/5 mL
,,,,Macropen,500 mg
,,,,Apen,500 mg
,,,Nalidixic acid,Winlomylon,250 mg/5 mL
,,,,Puromylon,500 mg
,,,Sulfamethoxazole and trimethoprim,Trixazole,480 mg
,,,,Lagatrim,480 mg
,,,,Doctrim,240 mg/5 mL
,,,,Ilvitrim,240 mg/5 mL
